,Michael Lehmann,Tim Johnson,Christopher Miller,Louis Leterrier,Raja Gosnell,Steve Oedekerk,Sidney Lumet,Richard Donner,Joel Coen,Richard Fleischer,Jay Roach,Gus Van Sant,Gary Winick,Steve Miner,Brian Helgeland,Woody Allen,Mikael Håfström,John G. Avildsen,Keenen Ivory Wayans,Craig Gillespie,Peter Hewitt,Robert Iscove,David Mickey Evans,Garry Marshall,Robert Rodriguez,Steven Brill,John Carpenter,Matt Reeves,Jay Chandrasekhar,David Koepp,Jim Jarmusch,Norman Jewison,Jonathan Liebesman,Ron Howard,Todd Phillips,Jan de Bont,Shekhar Kapur,Andrzej Bartkowiak,Curtis Hanson,Simon Wincer,Paul Thomas Anderson,nan,Michael Apted,Jim Sheridan,Andrew Stanton,Jake Kasdan,Jonathan Mostow,Tarsem Singh,Stanley Donen,David Dobkin,Richard Linklater,Doug Liman,Wolfgang Petersen,Gavin Hood,Roger Donaldson,Penny Marshall,Michael Caton-Jones,Seth Gordon,Antoine Fuqua,Clint Eastwood,Pedro Almodóvar,Sam Mendes,Les Mayfield,David R. Ellis,Len Wiseman,Dwight H. Little,Sofia Coppola,Jason Friedberg,Shawn Levy,Robert Redford,J.A. Bayona,Roger Spottiswoode,Adam Shankman,John Frankenheimer,Joe Roth,David Wain,Mel Brooks,Steve Rash,Guy Hamilton,Nicholas Stoller,Robert Schwentke,James Gunn (II),Dominic Sena,Paul Feig,Malcolm D. Lee,Rob Minkoff,Wayne Wang,Justin Lin,Frank Oz,Alex Proyas,Alexandre Aja,Guillermo del Toro,Sean McNamara,Adam McKay,Michel Gondry,Mira Nair,Chris Renaud,Walter Hill,Iain Softley,Robert Altman,Werner Herzog,James Wong,Cameron Crowe,Danny Boyle,Peter Segal,Brad Silberling,Rob Reiner,Lars von Trier,Don Bluth,Tom Tykwer,Ken Kwapis,Michael Mann,Simon West,Dennis Dugan,Brian Levant,Guy Ritchie,Stephen Hopkins,Mike Nichols,Mel Gibson,Frank Darabont,Joe Wright,F. Gary Gray,Lilly Wachowski,Hugh Wilson,Ethan Coen,Tyler Perry,Ridley Scott,Sylvester Stallone,Barry Levinson,Mike Newell,Robert Zemeckis,Wolfgang Reitherman,Catherine Hardwicke,George Roy Hill,Robert Stevenson,Rick Famuyiwa,Steve Pink,John Hughes,Griffin Dunne,Rian Johnson,Scott Derrickson,George Miller,Francis Ford Coppola,George Tillman Jr.,Joe Carnahan,J.J. Abrams,Sydney Pollack,Gavin O'Connor,Andy Tennant,Darren Lynn Bousman,Joel Schumacher,Lasse Hallstrom,Bobby Farrelly,Matthew Vaughn,Frank Coraci,Paul McGuigan,Jerry Zucker,Amy Heckerling,John Glen,Marc Forster,Randall Wallace,Mark Steven Johnson,Nick Cassavetes,David Lynch,Mark Neveldine,John Moore (V),Sergio Leone,Dean DeBlois,Brad Bird,Kenneth Branagh,Baz Luhrmann,Andy Fickman,George Lucas,Andrew Tennant,Roman Polanski,Peter Jackson,Terry Gilliam,Chuck Russell,Peyton Reed,Spike Jonze,Alfred Hitchcock,Burr Steers,Walt Becker,Joseph Ruben,Joe Dante,John Landis,Jim Abrahams,Mike Mitchell,Carlos Saldanha,Christopher Guest,Wes Anderson,Darren Aronofsky,Chris Buck,Steve Carr,Dean Parisot,Joe Johnston,Stanley Kubrick,Eric Darnell,Zack Snyder,Stephen Frears,Mike Judge,John Lee Hancock,Charles Shyer,Peter Howitt,Jason Reitman,Denis Villeneuve,Oliver Stone,Aaron Seltzer,George A. Romero,Chris Columbus,Adrian Lyne,Jean-Jacques Annaud,Ruben Fleischer,Tom McGrath,Howard Hawks,Jaume Collet-Serra,Tim Burton,James Cameron,Hamilton Luske,Sam Raimi,David Twohy,Luke Greenfield,Uwe Boll,Tom Hooper,Jon Amiel,Simon Wells,Tim Story,Alan Parker,John Stockwell,Barry Sonnenfeld,John Woo,Clyde Geronimi,Randal Kleiser,Bill Condon,Stephen Herek,Stephen Sommers,Peter Weir,Frank Marshall,Richard LaGravenese,Nora Ephron,Edgar Wright,Jon Favreau,Timur Bekmambetov,Kevin Reynolds,William Friedkin,Peter Farrelly,Jean-Pierre Jeunet,Wilfred Jackson,Kevin Smith,Kenny Ortega,Neil Marshall,Martin Scorsese,Ron Clements,John Singleton,Andrew Davis,Neil Jordan,Taylor Hackford,Paul Verhoeven,Roland Emmerich,Mark Waters (VIII),Francis Lawrence,Brian Taylor,Ben Stiller,Larry Charles,Jeff Tremaine,Victor Salva,David Leitch,Ron Underwood,David Ayer,Brett Ratner,Alfonso Cuarón,Michael Ritchie,D.J. Caruso,Phillip Noyce,Christopher Nolan,David Bowers,Rob Zombie,Rob Cohen,Henry Selick,Jonathan Lynn,David Fincher,Nancy Meyers,Ivan Reitman,Herbert Ross,Richard Lester,Steven Spielberg,Andrew Niccol,Blake Edwards,Lee Tamahori,Olivier Megaton,Milos Forman,Donald Petrie,Hayao Miyazaki,John McTiernan,James Foley,Rob Marshall,David Cronenberg,Lana Wachowski,Tom Shadyac,James Wan,Akira Kurosawa,Pierre Coffin,Marcus Nispel,Andrew Adamson,Edward Zwick,Jonathan Demme,Tony Scott,Richard Benjamin,Billy Wilder,Paul W.S. Anderson,Stanley Tong,Luc Besson,Harold Ramis,Tim Hill,Chris Weitz,Brian DePalma,Martin Brest,Martin Campbell,Peter Hyams,Tom Dey,Roger Kumble,David Zucker,Anne Fletcher,Russell Mulcahy,Gary Goldman,John Musker,Ang Lee,James Mangold,Wes Craven,John Huston,Kevin Macdonald,Alexander Payne,Betty Thomas,Jonathan Levine,Nicholas Hytner,Jay Russell,Renny Harlin,Harald Zwart,John Badham,Robert Wise,Terrence Malick,Anthony Russo,John Lasseter,Kevin Lima,Lee Unkrich,Bryan Singer,Jon M. Chu,Allen Hughes,David O. Russell,Anthony Minghella,Will Gluck,James L. Brooks,Gregory Hoblit,P.J. Hogan,John Whitesell,Brian Robbins,Kirk Jones,Gore Verbinski,Michael Moore,Sean Anders,Ron Shelton,Neil LaBute,McG,Michael Bay,Paul Weitz,Howard Deutch,Danny DeVito,Frank Capra,Kathryn Bigelow,Spike Lee,Paul Greengrass,Oliver Parker,George Clooney,Shane Black,Jon Turteltaub,Phil Lord,M. Night Shyamalan,Robert Luketic,Quentin Tarantino,Steven Soderbergh,Peter Berg,Judd Apatow,Alejandro González Iñárritu,Gary Fleder,David Yates (II),Mystery & Suspense,Cult Movies,Sports & Fitness,Faith & Spirituality,Gay & Lesbian,Comedy,Science Fiction & Fantasy,Documentary,Musical & Performing Arts,Anime & Manga,Action & Adventure,Horror,Kids & Family,Animation,Art House & International,Western,Drama,Classics,Special Interest,Romance,Television,content_rating,runtime,production_company,audience_rating
*batteries not included,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,G,106,Universal Pictures,64
10 Cloverfield Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,103,Bad Robot Productions,79
10 Things I Hate About You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,97,Buena Vista,69
"10,000 B.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,PG-13,109,Warner Bros.,37
100 Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R,95,Dream Entertainment,50
101 Dalmatians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,G,79,Buena Vista,76
101 Dalmatians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,G,103,Buena Vista,40
101 Dalmatians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G,79,Buena Vista,76
101 Dalmatians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G,103,Buena Vista,40
102 Dalmatians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,G,100,Buena Vista,32
