movie_title,Genre 1,Genre 2,Genre 3,Genre 4, Genre 5,Genre 6,Genre 7
8 1/2,Art House & International,Drama,Science Fiction & Fantasy,,,,
9,Action & Adventure,Animation,Drama,Science Fiction & Fantasy,,,
12,Art House & International,Drama,Mystery & Suspense,,,,
21,Drama,Mystery & Suspense,,,,,
42,Drama,,,,,,
54,Drama,,,,,,
300,Action & Adventure,Drama,,,,,
1408,Horror,Mystery & Suspense,,,,,
1917,Drama,,,,,,
1984,Drama,Science Fiction & Fantasy,Romance,,,,
2010,Mystery & Suspense,Science Fiction & Fantasy,,,,,
2012,Action & Adventure,Drama,Mystery & Suspense,Science Fiction & Fantasy,,,
*batteries not included,Comedy,Kids & Family,Science Fiction & Fantasy,,,,
[Rec],Art House & International,Horror,Special Interest,,,,
10 Cloverfield Lane,Drama,Mystery & Suspense,Science Fiction & Fantasy,,,,
10 Things I Hate About You,Comedy,,,,,,
"10,000 B.C.",Action & Adventure,Classics,Drama,,,,
100 Girls,Comedy,Romance,,,,,
101 Dalmatians(s),Animation,Classics,Comedy,Kids & Family,Mystery & Suspense,,
101 Dalmatians(l),Action & Adventure,Comedy,Kids & Family,,,,
102 Dalmatians,Comedy,Kids & Family,,,,,
12 Angry Men (Twelve Angry Men),Classics,Drama,,,,,
12 Rounds,Action & Adventure,Mystery & Suspense,,,,,
12 Years a Slave,Drama,,,,,,
127 Hours,Drama,,,,,,
13 Ghosts,Classics,Horror,,,,,
13 Going on 30,Comedy,Romance,,,,,
13 Hours: The Secret Soldiers Of Benghazi,Action & Adventure,Drama,,,,,
15 Minutes,Action & Adventure,Drama,Mystery & Suspense,Television,,,
16 Blocks,Action & Adventure,Drama,Mystery & Suspense,,,,
17 Again,Comedy,Drama,Science Fiction & Fantasy,,,,
2 Days in Paris,Art House & International,Comedy,Drama,Romance,,,
2 Fast 2 Furious,Action & Adventure,Drama,Mystery & Suspense,,,,
2 Guns,Action & Adventure,Drama,Mystery & Suspense,,,,
"20,000 Leagues Under The Sea",Action & Adventure,Drama,Kids & Family,,,,
2001: A Space Odyssey,Classics,Science Fiction & Fantasy,,,,,
2016: Obama's America,Documentary,Special Interest,,,,,
21 And Over,Comedy,,,,,,
21 Grams,Drama,,,,,,
21 Jump Street,Action & Adventure,Comedy,,,,,
22 Jump Street,Action & Adventure,Comedy,,,,,
24 Hour Party People,Comedy,Drama,Musical & Performing Arts,,,,
25th Hour,Drama,,,,,,
27 Dresses,Comedy,Romance,,,,,
28 Days,Comedy,Drama,,,,,
28 Days Later,Horror,Science Fiction & Fantasy,,,,,
28 Weeks Later...,Horror,Mystery & Suspense,Science Fiction & Fantasy,,,,
3 Days To Kill,Mystery & Suspense,,,,,,
3 Ninjas,Action & Adventure,Comedy,Kids & Family,,,,
3 Ninjas Kick Back,Action & Adventure,Comedy,Kids & Family,,,,
3 Ninjas: High Noon at Mega Mountain,Action & Adventure,Comedy,Kids & Family,,,,
3:10 to Yuma,Action & Adventure,Drama,Western,,,,
30 Days of Night,Horror,Mystery & Suspense,,,,,
30 Minutes or Less,Action & Adventure,Comedy,,,,,
300: Rise of an Empire,Action & Adventure,Drama,,,,,
3000 Miles to Graceland,Action & Adventure,Drama,Mystery & Suspense,,,,
"4 Months, 3 Weeks and 2 Days",Drama,,,,,,
40 Days and 40 Nights,Comedy,Mystery & Suspense,Romance,,,,
47 Ronin,Action & Adventure,Drama,Science Fiction & Fantasy,,,,
48 HRS,Action & Adventure,Comedy,,,,,
50 First Dates,Comedy,,,,,,
50/50,Comedy,Drama,,,,,
500 Days of Summer,Comedy,Drama,Romance,,,,
8 Mile,Drama,,,,,,
8 Seconds,Drama,Romance,,,,,
88 Minutes,Drama,Mystery & Suspense,,,,,
8MM,Action & Adventure,Mystery & Suspense,,,,,
9 1/2 Weeks,Drama,Romance,,,,,
9 to 5,Classics,Comedy,,,,,
A Beautiful Mind,Drama,,,,,,
A Boy Named Charlie Brown,Animation,Kids & Family,,,,,
A Bridge Too Far,Action & Adventure,Drama,,,,,
A Bronx Tale,Drama,,,,,,
