movie_title,content_rating,runtime,production_company,audience_rating
*batteries not included,G,106,Universal Pictures,64
10 Things I Hate About You,PG-13,97,Buena Vista,69
"10,000 B.C.",PG-13,109,Warner Bros.,37
101 Dalmatians(s),G,79,Buena Vista,76
101 Dalmatians(l),G,103,Buena Vista,40
102 Dalmatians,G,100,Buena Vista,32
12,PG-13,153,Sony,84
12 Angry Men (Twelve Angry Men),NR,95,Criterion Collection,97
12 Rounds,PG-13,108,20thCenturyFox,45
12 Years a Slave,R,134,20thCenturyFox,90
127 Hours,R,93,20thCenturyFox,85
13 Ghosts,NR,88,Columbia Pictures,41
13 Going on 30,PG-13,97,Sony,70
13 Hours: The Secret Soldiers Of Benghazi,R,144,Paramount,82
1408,PG-13,94,MGM,61
15 Minutes,R,120,New Line Cinema,37
16 Blocks,PG-13,102,Warner Bros.,57
17 Again,PG-13,102,New Line Cinema,67
1917,R,119,Universal Pictures,88
1984,R,115,Live Home Video,71
2 Days in Paris,R,96,Samuel Goldwyn Films,72
2 Fast 2 Furious,PG-13,108,Universal Pictures,50
2 Guns,R,109,Universal Pictures,66
"20,000 Leagues Under The Sea",G,127,Disney,74
2001: A Space Odyssey,G,139,Warner Bros.,89
2010,PG,114,MGM,61
2012,PG-13,158,Sony,47
21,PG-13,122,Sony,66
21 And Over,R,93,Relativity Media,46
21 Grams,R,125,Universal Pictures,86
21 Jump Street,R,110,Sony,82
22 Jump Street,R,112,Sony,77
24 Hour Party People,R,117,United Artists Pictures,87
25th Hour,R,134,Touchstone Pictures,85
27 Dresses,PG-13,107,20thCenturyFox,57
28 Days,PG-13,103,Columbia Pictures,50
28 Days Later,R,112,20thCenturyFox,85
28 Weeks Later...,R,100,20thCenturyFox,66
3 Days To Kill,PG-13,116,Relativity Media,43
3 Ninjas,PG,84,Buena Vista,53
3 Ninjas Kick Back,PG,93,Sony,40
3 Ninjas: High Noon at Mega Mountain,PG,93,Sony,29
30 Days of Night,R,113,Sony,56
30 Minutes or Less,R,83,Sony,40
300,R,117,Warner Bros.,89
3000 Miles to Graceland,R,125,Warner Bros.,46
300: Rise of an Empire,R,103,Warner Bros.,51
3:10 to Yuma,R,120,Lionsgate Films,86
"4 Months, 3 Weeks and 2 Days",R,113,IFC Films,86
40 Days and 40 Nights,R,94,Miramax Films,43
42,PG-13,128,Warner Bros.,85
47 Ronin,PG-13,119,Universal Pictures,48
48 HRS,R,97,Paramount,69
50 First Dates,PG-13,96,Sony,65
50/50,R,99,Summit Entertainment,88
500 Days of Summer,PG-13,95,20thCenturyFox,84
54,R,92,Miramax Films,43
8 Mile,R,110,Universal Pictures,54
8 Seconds,PG-13,104,Sony,94
88 Minutes,R,107,Sony,44
8MM,R,123,Columbia Pictures,52
9,PG-13,79,Focus Features,56
9 1/2 Weeks,R,113,MGM,56
9 to 5,PG,110,20thCenturyFox,74
A Beautiful Mind,PG-13,135,Universal Pictures,93
A Bridge Too Far,PG,179,United Artists Pictures,86
A Bronx Tale,R,122,HBO Video,93
A Bug's Life,G,96,Buena Vista,73
A Charlie Brown Thanksgiving,NR,25,CBS,75
A Christmas Carol,G,69,MGM,74
A Christmas Story,PG,93,MGM,88
A Cinderella Story,PG,95,Warner Bros.,53
A Clockwork Orange,R,137,Warner Bros.,93
A Dangerous Method,R,99,Sony,50
A Few Good Men,R,138,Columbia Pictures,89
A Fish Called Wanda,R,107,MGM,84
A Fistful of Dollars (Per un Pugno di Dollari),R,96,MGM,91
A Good Day To Die Hard,R,98,20thCenturyFox,40
A Good Woman,PG,92,Lionsgate Films,49
A Good Year,PG-13,118,20thCenturyFox,65
A Goofy Movie,G,78,Disney,70
