movie_title,Mystery & Suspense,Cult Movies,Sports & Fitness,Faith & Spirituality,Gay & Lesbian,Comedy,Science Fiction & Fantasy,Documentary,Musical & Performing Arts,Anime & Manga,Action & Adventure,Horror,Kids & Family,Animation,Art House & International,Western,Drama,Classics,Special Interest,Romance,Television
Percy Jackson & the Olympians: The Lightning Thief,,,,,,1,1,,,,1,,,,,,1,,,,
12 Angry Men (Twelve Angry Men),,,,,,,,,,,,,,,,,1,1,,,
"20,000 Leagues Under The Sea",,,,,,,,,,,1,,1,,,,1,,,,
"10,000 B.C.",,,,,,,,,,,1,,,,,,1,1,,,
The Lost City,,,,,,,,,,,,,,,,,1,,,,
The Adventures of Robin Hood,,,,,,,,,,,1,,,,,,,1,,1,
Tristan & Isolde,,,,,,,1,,,,,,,,,,1,,,1,
Running Scared,1,,,,,,,,,,1,,,,,,1,,,,
Ultraviolet,,,,,,,1,,,,1,1,,,,,1,,,,
Arthur and the Invisibles (Arthur and the Minimoys),,,,,,,1,,,,,,1,1,,,,,,,
The Matador,1,,,,,1,,,,,1,,,,,,1,,,,
The Second Chance,,,,1,,,,,,,,,,,,,1,,,,
Aliens,,,,,,,1,,,,1,1,,,,,,,,,
All About Eve,,,,,,,,,,,,,,,,,1,1,,,
Stay Alive,1,,,,,,,,,,,1,,,,,,,,,
Amazing Grace,1,,,,,,,,,,,,,,,,1,,,,
Cocaine Cowboys,,,,,,,,1,,,,,,,,,,,,,
It's a Boy Girl Thing,,,,,,1,,,,,,,,,,,,,,1,
Interview,,,,,,,,,,,,,,,1,,1,,,,
The Ten,,,,,,1,,,,,,,,,,,,,,,
The Happening,1,,,,,,1,,,,,,,,,,1,,,,
Pathology,1,,,,,,,,,,,,,,,,1,,,,
Disney's A Christmas Carol,,,,,,,1,,,,,,1,1,,,1,,,,
Beverly Hills Chihuahua,,,,,,1,,,,,,,,,,,,,,,
Fireflies in the Garden,,,,,,,,,,,,,,,,,1,,,,
The Eye,1,,,,,,,,,,,1,,,,,1,,,,
My Best Friend's Girl,,,,,,1,,,,,,,,,,,1,,,,
The Midnight Meat Train,1,,,,,,,,,,,1,,,,,1,,,,
Run Fatboy Run,,,,,,1,,,,,,,,,,,,,,,
Whiteout,1,,,,,,,,,,1,,,,,,1,,,,
What Happens in Vegas,,,,,,1,,,,,,,,,,,,,,1,
Appaloosa,,,,,,,,,,,1,,,,,1,,,,,
Good,,,,,,,,,,,,,,,,,1,,,,
The Visitor,,,,,,,,,,,,,,,,,1,,,,
Untraceable,1,,,,,,,,,,,1,,,,,1,,,,
The Rocker,,,,,,1,,,,,,,,,,,1,,,,
The Perfect Holiday,,,,,,,,,,,,,1,,,,,,,1,
Land of the Lost,,,,,,1,1,,,,1,,,,,,,,,,
[Rec],,,,,,,,,,,,1,,,1,,,,1,,
The Box,1,,,,,,1,,,,,1,,,,,,,,,
21,1,,,,,,,,,,,,,,,,1,,,,
Body of Lies,1,,,,,,,,,,,,,,,,1,,,,
Passengers,1,,,,,,,,,,,,,,,,1,,,,
Shutter,1,,,,,,,,,,,1,,,,,,,,,
Priest,1,,,,,,1,,,,1,1,,,,1,,,,,
The Road,1,,,,,,1,,,,,,,,,,1,,,,
G-Force,,,,,,1,1,,,,1,,1,,,,,,,,
The Duchess,,,,,,,,,,,,,,,,,1,,,,
The Women,,,,,,1,,,,,,,,,,,1,,,,
Public Enemies,,,,,,,,,,,1,,,,,,1,,,,
Angel Heart,1,,,,,,,,,,,,,,,,1,,,,
Old Dogs,,,,,,1,,,,,,,1,,,,1,,,,
Surrogates,1,,,,,1,1,,,,1,,,,,,,,,,
The Promotion,,,,,,1,,,,,,,,,,,,,,,
Notorious,,,,,,,,,1,,,,,,,,1,,,,
Soul Men,,,,,,1,,,1,,,,,,,,,,,,
Igor,,,,,,1,,,,,,,1,1,,,,,,,
Alvin and the Chipmunks: The Squeakquel,,,,,,1,,,,,,,1,1,,,,,,,
The Rebound,,,,,,1,,,,,,,,,,,,,,1,
Push,1,,,,,,1,,,,,,,,,,,,,,
The Unborn,1,,,,,,,,,,,1,,,,,,,,,
Fireproof,,,,,,,,,,,,,,,,,1,,,,
The Proposal,,,,,,1,,,,,,,,,,,,,,1,
Gigantic,,,,,,1,,,,,,,,,,,,,,1,
Orphan,1,,,,,,,,,,,1,,,,,1,,,,
My Sister's Keeper,,,,,,,,,,,,,,,,,1,,,,
The Hangover,,,,,,1,,,,,,,,,,,,,,,
The Stepfather,1,,,,,,,,,,,1,,,,,,,,,
Okuribito (Departures),,,,,,,,,,,,,,,1,,1,,,,
Season of the Witch,1,,,,,,1,,,,1,,,,,,1,,,,
Miss March,,,,,,1,,,,,,,,,,,,,,,
The Apartment,,,,,,1,,,,,,,,,,,1,1,,1,
Fame,,,,,,,,,1,,,,,,,,1,,,1,
Blood: The Last Vampire,,,,,,,1,,,,1,1,,,1,,,,,,
Shrink,,,,,,1,,,,,,,,,,,1,,,,
Tron Legacy,,,,,,,1,,,,1,,,,,,,,,,
Chloe,1,,,,,,,,,,,,,,,,1,,,,
Around the World in 80 Days,,,,,,1,,,,,1,,1,,,,1,,,,
The Last Song,,,,,,,,,,,,,1,,,,1,,,1,
Babies,,,,,,,,1,,,,,,,,,,,1,,
Lottery Ticket,,,,,,1,,,,,,,,,,,,,,,
Going the Distance,,,,,,1,,,,,,,,,,,,,,1,
Life as We Know It,,,,,,1,,,,,,,,,,,1,,,,
The Ghost Writer,1,,,,,,,,,,,,,,,,1,,,,
Repo Men,,,,,,,1,,,,1,,,,,,,,,,
Winter's Bone,,,,,,,,,,,,,,,,,1,,,,
The Kids Are All Right,,,,,,1,,,,,,,,,,,1,,,,
Predators,,,,,,,1,,,,1,1,,,,,,,,,
Arthur,,,,,,1,,,,,,,,,,,,,,1,
The Bad News Bears,,,,,,1,,,,,,,,,,,,1,,,
The Big Sleep,1,,,,,,,,,,,,,,,,1,1,,,
The Birds,1,,,,,,,,,,,1,,,,,,1,,,
Black Rain,1,,,,,,,,,,1,,,,,,1,,,,
Brewster's Millions,,,,,,1,,,,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid,,,,,,,,,,,1,,,,,1,,1,,,
Carrie,,,,,,,,,,,,1,,,,,,,,,
Casablanca,,,,,,,,,,,,,,,,,1,1,,1,
Casino Royale,,,,,,1,,,,,1,,,,,,,1,,,
Cat on a Hot Tin Roof,,,,,,,,,,,,,,,,,1,1,,,
Charade,1,,,,,1,,,,,,,,,,,1,1,,,
Charlotte's Web,,,,,,,,,,,,,1,1,,,,,,,
Children of the Corn,1,1,,,,,,,,,,1,,,,,,,,,
A Christmas Carol,,,,,,,1,,,,,,1,,,,1,1,,,
A Christmas Story,,,,,,1,,,,,,,1,,,,1,,,,
Colors,,,,,,,,,,,1,,,,,,1,,,,
Commando,,,,,,,,,,,1,,,,,,,,,,
Dangerous Liaisons,,,,,,,,,,,,,,,,,1,,,,
Day of the Dead,,,,,,,,,,,,1,,,,,,,,,
The Day the Earth Stood Still,,,,,,,1,,,,,,,,,,1,1,,,
Doctor Zhivago,,,,,,,,,,,,,,,,,1,1,,1,1
Dracula,,,,,,,,,,,,1,,,,,,1,,,
Dragnet,,,,,,1,,,,,1,,,,,,,,,,
Duel,1,,,,,,,,,,,,,,,,,,,,1
Dune,,,,,,,1,,,,,,,,,,,,,,
The Elephant Man,,,,,,,,,,,,,,,,,1,,,,
Escape from New York,,,,,,,1,,,,1,,,,,,,,,,
Fahrenheit 451,,,,,,,1,,,,,,,,,,,1,,,
Fatal Attraction,1,,,,,,,,,,,,,,,,1,,,,
Flash Gordon,,,,,,1,1,,,,1,,,,,,,,,,
Flipper,,,,,,,,,,,1,,1,,,,1,1,,,1
The Fly,,,,,,,1,,,,,1,,,,,1,,,,
Footloose,,,,,,,,,1,,,,,,,,1,,,1,
Freaky Friday,,,,,,1,1,,,,,,1,,,,,,,,
Fright Night,,,,,,,,,,,,1,,,,,,,,,
Frosty the Snowman,,,,,,,,,,,,,1,1,,,,,,,
Funny Farm,,,,,,1,,,,,,,,,,,,,,,
Game of Death,,,,,,,,,,,1,,,,1,,,,,,
Glory,,,,,,,,,,,,,,,,,1,,,,
Gone in 60 Seconds,1,1,,,,,,,,,1,,,,,,1,,,,
Hairspray,,,,,,1,,,1,,,,,,,,1,,,,
Halloween,1,,,,,,,,,,,1,,,,,,,,,
The Hills Have Eyes,1,,,,,,,,,,,1,,,,,,,,,
100 Girls,,,,,,1,,,,,,,,,,,,,,1,
House of Wax,1,,,,,,,,,,,1,,,,,1,,,,
Invasion of the Body Snatchers,1,,,,,,1,,,,,1,,,,,,,,,
Jesus Christ Superstar,,,,1,,,,,1,,,,,,,,1,,,,
Kickboxer,,,,,,,,,,,1,,,,,,1,,,,
The King and I,,,,,,,,,1,,,,,,,,,1,,1,
King Kong,,,,,,,,,,,1,1,,,,,,1,,,
King Kong,,,,,,,1,,,,1,1,,,,,,,,,
The King of Comedy,1,,,,,1,,,,,,,,,,,1,,,,
Legend,,,,,,,1,,,,,,,,,,1,,,,
The Little Shop of Horrors,,1,,,,1,,,,,,1,,,,,,1,,,
Little Shop of Horrors,,,,,,1,1,,1,,,1,,,,,,,,,
